anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria,sexo,edad,tipo_persona,calidad_juridica,competencia,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,colonia_catalogo,colonia_hecho,alcaldia_hecho,municipio_hecho,latitud,longitud
2022,Diciembre,31/12/22,19:35:00,DAÑO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,DELITO DE BAJO IMPACTO,Masculino,51,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:06:00,RAMOS MILLAN BRAMADERO I,GABRIEL RAMOS MILLÁN SECCIÓN BRAMADERO,IZTACALCO,CDMX,19.39246453,-99.0949234
2023,Enero,01/01/23,8:30:00,LESIONES INTENCIONALES POR ARMA BLANCA,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,11:09:00,SAN LORENZO ACOPILCO (PBLO),SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,CDMX,19.32356413,-99.32900412
2023,Enero,01/01/23,8:30:00,LESIONES INTENCIONALES POR ARMA BLANCA,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,11:09:00,SAN LORENZO ACOPILCO (PBLO),SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,CDMX,19.32356413,-99.32900412
2022,Diciembre,29/12/22,13:30:00,VIOLACION EQUIPARADA,VIOLACIÓN,Masculino,22,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:10:00,TABACALERA,TABACALERA,CUAUHTEMOC,CDMX,19.43746957,-99.15671868
2022,Diciembre,31/12/22,5:39:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,43,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:13:00,SAN DIEGO OCOYOACAC,SAN DIEGO OCOYOACAC,MIGUEL HIDALGO,CDMX,19.46185505,-99.19482582
2022,Noviembre,14/11/22,12:00:00,AMENAZAS,DELITO DE BAJO IMPACTO,NA,NA,MORAL,OFENDIDO,FUERO COMUN,2023,Enero,01/01/23,11:16:00,"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES",CUAUHTÉMOC,MIGUEL HIDALGO,CDMX,19.42344644,-99.17678876
2021,Diciembre,10/12/21,11:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:17:00,20 DE NOVIEMBRE,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CDMX,19.44786991,-99.10932875
2022,Diciembre,31/12/22,16:30:00,TENTATIVA DE EXTORSION,DELITO DE BAJO IMPACTO,Femenino,57,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:23:00,GUERRERO III,GUERRERO,CUAUHTEMOC,CDMX,19.44494531,-99.14370157
2022,Diciembre,12/12/22,12:00:00,DESPOJO,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:26:00,STA MA AZTAHUACAN (PBLO),SANTA MARIA AZTAHUACAN,IZTAPALAPA,CDMX,19.35167724,-99.02654483
2022,Diciembre,29/12/22,18:45:00,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,NA,NA,MORAL,OFENDIDO,FUERO COMUN,2023,Enero,01/01/23,11:28:00,SANTIAGO TULYEHUALCO (PBLO),SAN ISIDRO TULYEHUALCO,TLAHUAC,CDMX,19.26034251,-99.00968469
2022,Diciembre,31/12/22,17:00:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,32,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:29:00,AMPLIACION MIGUEL HIDALGO 2A SECC,MIGUEL HIDALGO 2A SECCIÓN,TLALPAN,CDMX,19.28169334,-99.19670232
2023,Enero,01/01/23,10:30:00,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,NA,NA,MORAL,OFENDIDO,FUERO COMUN,2023,Enero,01/01/23,11:31:00,EL ROSARIO C (U HAB),EL ROSARIO,AZCAPOTZALCO,CDMX,19.50089574,-99.20016375
2022,Diciembre,31/12/22,16:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,21,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:38:00,OLIVAR DEL CONDE 2DA SECCION I,OLIVAR DEL CONDE 2A SECCIÓN,ALVARO OBREGON,CDMX,19.37199979,-99.21572103
2023,Enero,01/01/23,9:58:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Masculino,37,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:44:00,AGRICOLA ORIENTAL II,AGRÍCOLA ORIENTAL,IZTACALCO,CDMX,19.39486276,-99.07488323
2021,Octubre,26/10/21,10:00:00,FRAUDE,DELITO DE BAJO IMPACTO,Femenino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:46:00,LOMAS DE CHAPULTEPEC,LOMAS DE CHAPULTEPEC I SECCIÓN,MIGUEL HIDALGO,CDMX,19.41885064,-99.21812827
2023,Enero,01/01/23,7:00:00,LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,Masculino,NA,FISICA,LESIONADO,INCOMPETENCIAS,2023,Enero,01/01/23,11:57:00,NA,NA,FUERA DE CDMX,TLALNEPANTLA DE BAZ,NA,NA
2023,Enero,01/01/23,9:45:00,AMENAZAS,DELITO DE BAJO IMPACTO,Masculino,43,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,12:03:00,OBRERA II,OBRERA,CUAUHTEMOC,CDMX,19.41599917,-99.14104051
2022,Noviembre,12/11/22,13:00:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,12:10:00,AGRICOLA ORIENTAL VI,AGRÍCOLA ORIENTAL,IZTACALCO,CDMX,19.39962073,-99.06427249
2022,Diciembre,30/12/22,1:28:00,FRAUDE,DELITO DE BAJO IMPACTO,Femenino,25,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,12:12:00,SANTA ANA TLACOTENCO (PBLO),SAN MIGUEL (SANTA ANA TLACOTENCO),MILPA ALTA,CDMX,19.17590555,-98.99926722
