Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,124.8,128.0,124.61,127.11,115.49,4802496.0
2022-08-22,126.7,128.19,124.57,126.51,114.95,9734097.0
2022-08-23,126.88,127.79,125.41,127.25,115.62,6477369.0
2022-08-24,126.12,127.83,125.7,126.2,114.67,6982522.0
2022-08-25,126.0,127.55,124.7,125.8,114.3,5385720.0
2022-08-26,122.0,123.18,121.59,122.91,111.67,1694211.0
2022-08-29,122.55,122.66,120.01,121.11,110.04,4304371.0
2022-08-30,121.11,122.37,119.05,121.41,110.31,4018754.0
2022-08-31,121.68,122.88,118.62,118.98,108.1,14573291.0
2022-09-01,118.98,121.5,115.73,119.97,109.0,5139609.0
2022-09-02,121.75,124.73,119.75,122.27,111.1,4099265.0
2022-09-05,122.23,124.48,117.0,123.86,112.53,330816.0
2022-09-06,123.98,123.98,120.51,121.66,110.54,3574537.0
2022-09-07,121.69,124.55,120.61,123.4,112.12,4453307.0
2022-09-08,123.3,123.8,121.8,122.27,111.1,5298849.0
2022-09-09,122.69,125.95,122.69,124.98,113.56,2899959.0
2022-09-12,125.29,128.49,125.22,127.63,115.97,3279294.0
2022-09-13,127.0,127.98,124.69,125.04,113.61,4314720.0
2022-09-14,125.33,129.99,125.0,129.42,117.6,5870212.0
2022-09-15,129.57,134.41,129.5,133.94,121.69,22178873.0
2022-09-19,133.61,139.92,132.91,138.63,125.96,16416616.0
2022-09-20,138.44,138.44,134.47,135.38,123.01,9382941.0
2022-09-21,136.0,137.89,135.21,136.28,123.83,4913315.0
2022-09-22,135.71,135.94,132.19,134.25,121.98,5021478.0
2022-09-23,133.61,134.19,128.55,131.33,119.32,6081120.0
2022-09-26,131.64,131.64,129.28,130.16,118.26,5012747.0
2022-09-27,130.8,130.99,128.89,129.07,117.27,7121469.0
2022-09-28,130.08,133.08,129.35,132.47,120.37,5247896.0
2022-09-29,131.91,132.36,128.0,129.0,117.21,5014077.0
2022-09-30,129.19,131.33,128.61,129.0,117.21,7494040.0
2022-10-03,129.49,131.86,128.8,131.75,119.7,4993033.0
2022-10-04,131.5,133.28,129.61,132.99,120.83,6569005.0
2022-10-05,132.0,133.69,131.52,132.92,120.78,2426155.0
2022-10-06,133.28,138.88,132.69,138.22,125.59,4207669.0
2022-10-07,138.0,141.49,137.88,141.0,128.11,6844605.0
2022-10-10,140.11,141.91,137.77,140.33,127.51,2366055.0
2022-10-11,140.44,145.49,138.8,143.41,130.3,8793178.0
2022-10-12,143.41,147.78,141.99,145.3,132.02,6650887.0
2022-10-13,144.3,147.88,141.74,146.5,133.11,10476739.0
2022-10-14,147.0,149.69,146.24,147.61,134.11,6838894.0
2022-10-17,148.08,153.69,148.02,153.0,139.02,10605847.0
2022-10-18,152.97,153.77,150.0,151.99,138.09,13424126.0
2022-10-19,151.05,151.86,150.13,150.55,136.79,14412058.0
2022-10-20,150.99,152.5,149.71,152.39,138.47,10288770.0
2022-10-21,153.0,157.99,153.0,156.39,142.1,12324114.0
2022-10-24,155.5,161.97,155.5,161.3,146.55,9682537.0
2022-10-25,160.61,165.97,159.5,164.91,149.83,9810236.0
2022-10-26,165.02,165.3,158.16,160.47,145.81,19007298.0
