fecha,tipo_ingreso,linea,ingreso
2022-01-05,Recargas,Línea B,912536.5
2022-01-05,Recargas,Línea 12,0.0
2022-01-05,Tarjetas,Línea 1,13770.0
2022-01-05,Tarjetas,Línea 2,13515.0
2022-01-05,Tarjetas,Línea 3,10050.0
2022-01-05,Tarjetas,Línea 4,750.0
2022-01-05,Tarjetas,Línea 5,3540.0
2022-01-05,Tarjetas,Línea 6,1605.0
2022-01-05,Tarjetas,Línea 7,4230.0
2022-01-05,Tarjetas,Línea 8,7785.0
2022-01-05,Tarjetas,Línea 9,4410.0
2022-01-05,Tarjetas,Línea A,3915.0
2022-01-05,Tarjetas,Línea B,6525.0
2022-01-05,Tarjetas,Línea 12,0.0
2022-01-05,QR/Validación,Línea 1,0.0
2022-01-05,QR/Validación,Línea 2,0.0
2022-01-05,QR/Validación,Línea 3,0.0
2022-01-05,QR/Validación,Línea 4,0.0
2022-01-05,QR/Validación,Línea 5,0.0
2022-01-05,QR/Validación,Línea 6,0.0
2022-01-05,QR/Validación,Línea 7,0.0
2022-01-05,QR/Validación,Línea 8,0.0
2022-01-05,QR/Validación,Línea 9,10185.0
2022-01-05,QR/Validación,Línea A,0.0
2022-01-05,QR/Validación,Línea B,0.0
2022-01-05,QR/Validación,Línea 12,0.0
2022-01-06,Boletos,Línea 1,630850.0
2022-01-06,Boletos,Línea 2,599450.0
2022-01-06,Boletos,Línea 3,479825.0
2022-01-06,Boletos,Línea 4,91550.0
2022-01-06,Boletos,Línea 5,213400.0
2022-01-06,Boletos,Línea 6,96575.0
2022-01-06,Boletos,Línea 7,210900.0
2022-01-06,Boletos,Línea 8,356950.0
2022-01-06,Boletos,Línea 9,238775.0
2022-01-06,Boletos,Línea A,313825.0
2022-01-06,Boletos,Línea B,454125.0
2022-01-06,Boletos,Línea 12,0.0
2022-01-06,Recargas,Línea 1,1049685.3
2022-01-06,Recargas,Línea 2,1122441.3
2022-01-06,Recargas,Línea 3,1121817.9
2022-01-06,Recargas,Línea 4,103991.0
2022-01-06,Recargas,Línea 5,328879.0
2022-01-06,Recargas,Línea 6,191091.7
2022-01-06,Recargas,Línea 7,581053.5
2022-01-06,Recargas,Línea 8,799386.5
2022-01-06,Recargas,Línea 9,606399.7
2022-01-06,Recargas,Línea A,578106.9
2022-01-06,Recargas,Línea B,792547.2
2022-01-06,Recargas,Línea 12,0.0
2022-01-06,Tarjetas,Línea 1,12405.0
2022-01-06,Tarjetas,Línea 2,10575.0
2022-01-06,Tarjetas,Línea 3,8535.0
2022-01-06,Tarjetas,Línea 4,630.0
2022-01-06,Tarjetas,Línea 5,3945.0
2022-01-06,Tarjetas,Línea 6,1770.0
2022-01-06,Tarjetas,Línea 7,4410.0
2022-01-06,Tarjetas,Línea 8,6180.0
2022-01-06,Tarjetas,Línea 9,3480.0
2022-01-06,Tarjetas,Línea A,5010.0
2022-01-06,Tarjetas,Línea B,6210.0
2022-01-06,Tarjetas,Línea 12,0.0
2022-01-06,QR/Validación,Línea 1,0.0
2022-01-06,QR/Validación,Línea 2,0.0
2022-01-06,QR/Validación,Línea 3,0.0
2022-01-06,QR/Validación,Línea 4,0.0
2022-01-06,QR/Validación,Línea 5,0.0
2022-01-06,QR/Validación,Línea 6,0.0
2022-01-06,QR/Validación,Línea 7,0.0
2022-01-06,QR/Validación,Línea 8,0.0
2022-01-06,QR/Validación,Línea 9,9290.0
2022-01-06,QR/Validación,Línea A,0.0
2022-01-06,QR/Validación,Línea B,0.0
2022-01-06,QR/Validación,Línea 12,0.0
2022-01-07,Boletos,Línea 1,732900.0
2022-01-07,Boletos,Línea 2,677100.0
2022-01-07,Boletos,Línea 3,527935.0
2022-01-07,Boletos,Línea 4,106975.0
2022-01-07,Boletos,Línea 5,242275.0
2022-01-07,Boletos,Línea 6,105275.0
2022-01-07,Boletos,Línea 7,243175.0
2022-01-07,Boletos,Línea 8,388975.0
2022-01-07,Boletos,Línea 9,260625.0
2022-01-07,Boletos,Línea A,345675.0
2022-01-07,Boletos,Línea B,518225.0
2022-01-07,Boletos,Línea 12,0.0
2022-01-07,Recargas,Línea 1,1110499.7
2022-01-07,Recargas,Línea 2,1237809.4
2022-01-07,Recargas,Línea 3,1165474.4
2022-01-07,Recargas,Línea 4,124881.0
2022-01-07,Recargas,Línea 5,356099.0
2022-01-07,Recargas,Línea 6,220548.0
2022-01-07,Recargas,Línea 7,626057.2
2022-01-07,Recargas,Línea 8,853619.6
2022-01-07,Recargas,Línea 9,643977.0
2022-01-07,Recargas,Línea A,540477.7
2022-01-07,Recargas,Línea B,845026.0
2022-01-07,Recargas,Línea 12,0.0
2022-01-07,Tarjetas,Línea 1,12120.0
2022-01-07,Tarjetas,Línea 2,11220.0
2022-01-07,Tarjetas,Línea 3,9390.0
2022-01-07,Tarjetas,Línea 4,540.0
2022-01-07,Tarjetas,Línea 5,3975.0
2022-01-07,Tarjetas,Línea 6,1560.0
2022-01-07,Tarjetas,Línea 7,4365.0
2022-01-07,Tarjetas,Línea 8,6240.0
2022-01-07,Tarjetas,Línea 9,4290.0
2022-01-07,Tarjetas,Línea A,4365.0
2022-01-07,Tarjetas,Línea B,6315.0
2022-01-07,Tarjetas,Línea 12,0.0
2022-01-07,QR/Validación,Línea 1,0.0
2022-01-07,QR/Validación,Línea 2,0.0
2022-01-07,QR/Validación,Línea 3,0.0
2022-01-07,QR/Validación,Línea 4,0.0
2022-01-07,QR/Validación,Línea 5,0.0
2022-01-07,QR/Validación,Línea 6,0.0
2022-01-07,QR/Validación,Línea 7,0.0
2022-01-07,QR/Validación,Línea 8,0.0
2022-01-07,QR/Validación,Línea 9,10585.0
2022-01-07,QR/Validación,Línea A,0.0
2022-01-07,QR/Validación,Línea B,0.0
2022-01-07,QR/Validación,Línea 12,0.0
2022-01-08,Boletos,Línea 1,762375.0
2022-01-08,Boletos,Línea 2,713200.0
2022-01-08,Boletos,Línea 3,496520.0
2022-01-08,Boletos,Línea 4,108025.0
2022-01-08,Boletos,Línea 5,230600.0
2022-01-08,Boletos,Línea 6,92950.0
2022-01-08,Boletos,Línea 7,224375.0
2022-01-08,Boletos,Línea 8,375375.0
2022-01-08,Boletos,Línea 9,243400.0
2022-01-08,Boletos,Línea A,311675.0
2022-01-08,Boletos,Línea B,542950.0
2022-01-08,Boletos,Línea 12,0.0
2022-01-08,Recargas,Línea 1,1076674.0
2022-01-08,Recargas,Línea 2,1504529.1
2022-01-08,Recargas,Línea 3,1106523.9
2022-01-08,Recargas,Línea 4,126341.0
2022-01-08,Recargas,Línea 5,361942.7
2022-01-08,Recargas,Línea 6,188435.3
2022-01-08,Recargas,Línea 7,573380.35
2022-01-08,Recargas,Línea 8,836292.85
2022-01-08,Recargas,Línea 9,576545.5
2022-01-08,Recargas,Línea A,517064.6
2022-01-08,Recargas,Línea B,866349.7
2022-01-08,Recargas,Línea 12,0.0
2022-01-08,Tarjetas,Línea 1,12000.0
2022-01-08,Tarjetas,Línea 2,17385.0
2022-01-08,Tarjetas,Línea 3,10140.0
2022-01-08,Tarjetas,Línea 4,540.0
2022-01-08,Tarjetas,Línea 5,4290.0
2022-01-08,Tarjetas,Línea 6,1485.0
2022-01-08,Tarjetas,Línea 7,4545.0
2022-01-08,Tarjetas,Línea 8,6825.0
2022-01-08,Tarjetas,Línea 9,3435.0
2022-01-08,Tarjetas,Línea A,4125.0
2022-01-08,Tarjetas,Línea B,6195.0
2022-01-08,Tarjetas,Línea 12,0.0
2022-01-08,QR/Validación,Línea 1,0.0
2022-01-08,QR/Validación,Línea 2,0.0
2022-01-08,QR/Validación,Línea 3,0.0
2022-01-08,QR/Validación,Línea 4,0.0
2022-01-08,QR/Validación,Línea 5,0.0
2022-01-08,QR/Validación,Línea 6,0.0
2022-01-08,QR/Validación,Línea 7,0.0
2022-01-08,QR/Validación,Línea 8,0.0
2022-01-08,QR/Validación,Línea 9,8510.0
2022-01-08,QR/Validación,Línea A,0.0
2022-01-08,QR/Validación,Línea B,0.0
2022-01-08,QR/Validación,Línea 12,0.0
2022-01-09,Boletos,Línea 1,535450.0
2022-01-09,Boletos,Línea 2,435925.0
2022-01-09,Boletos,Línea 3,319820.0
2022-01-09,Boletos,Línea 4,71975.0
2022-01-09,Boletos,Línea 5,168475.0
2022-01-09,Boletos,Línea 6,64775.0
2022-01-09,Boletos,Línea 7,139300.0
